P	Q
6.1	4.2164
4.1	3.2004
0	2.6416
22.1	2.413
3.6	2.4892
4.6	2.921
4.6	3.9878
7.1	6.5786
24.4	9.2456
26.7	15.3416
26.4	14.1224
15.7	18.796
3	10.0584
0	5.7912
2	4.191
8.9	3.7338
6.4	3.3782
9.7	3.2258
12.2	4.5212
2	4.445
1	3.81
1	3.2004
8.6	2.9464
26.2	8.4328
13.7	7.8994
31.2	8.9916
103.6	52.4764
9.1	29.5402
15.5	14.1732
13.5	11.9126
7.6	11.938
2	9.0424
0.5	5.9436
2	4.3688
1.8	3.5814
0	3.175
27.2	3.302
13	3.3528
3.6	3.0988
17.5	2.8956
6.4	2.6924
0	2.4384
0	2.2606
18	2.286
48.8	7.2644
23.9	8.5598
6.1	15.3162
0	13.1318
13.7	10.8712
9.4	13.3096
6.1	11.1506
0	7.7724
2	5.6896
5.1	4.8514
0.8	4.3434
6.6	3.81
8.1	3.8608
2	4.318
0	4.3688
1.3	4.0894
0	3.4036
0.3	2.8448
0	2.5146
0	2.2352
0	2.0066
0.3	1.8034
3	1.6764
18.5	1.8288
1.5	1.8034
1	1.6002
7.4	1.651
18.8	2.0066
0	2.1336
0	1.9812
0	1.8542
5.1	1.778
33.8	2.7686
2.8	4.6228
0	3.429
22.6	3.429
4.1	3.81
8.1	3.556
1.3	3.2766
30	4.1148
13.7	11.4554
3.8	8.382
16.8	6.0452
27.9	6.7564
20.3	16.3576
20.3	10.922
7.1	11.6586
1.3	8.636
0	5.4864
0	3.9878
0	3.1496
0	2.5908
0	2.2098
0	1.9558
0	1.778
0	1.6256
0	1.6002
0	1.4478
0	1.1176
4.1	1.0414
0.5	0.9398
1.5	0.9144
1.3	0.889
0.3	0.8636
0	0.8382
0	0.7874
0	0.7366
0	0.6858
0	0.6858
0	0.6858
5.6	0.6858
21.8	1.0414
26.9	1.4478
6.6	2.0066
0	1.5748
18.3	2.3876
8.9	2.032
6.4	1.778
0.8	1.6764
10.9	1.4986
41.1	7.1882
1.5	9.5504
0	4.3942
5.8	2.8956
3.8	2.3114
0	2.0066
0	1.7018
0	1.5494
0	1.2954
12.2	1.2446
3	1.2954
1.5	1.1684
13.2	1.2446
11.4	1.6002
0	1.4478
0	1.1938
0	1.0414
0	0.9652
0	0.889
0	0.8636
6.4	0.8128
6.1	0.7874
4.3	0.8382
0	0.7874
0	0.7366
0	0.6858
0	0.6858
0	0.635
0	0.5842
0	0.5842
14.5	0.5842
12.2	1.1938
0	0.8128
0	0.7112
4.6	0.6096
21.8	0.9398
0.8	1.0668
0	0.8128
0	0.7112
0	0.6604
0	0.6096
0	0.5842
9.7	0.6858
0	0.6096
0	0.5588
0	0.5334
0	0.508
0	0.4826
0	0.4826
0	0.4572
0	0.4572
0.5	0.4318
1.5	0.4318
0	0.4318
2	0.4064
0	0.4318
0	0.381
0	0.381
0	0.381
0	0.3556
0	0.3556
6.1	0.4064
4.3	0.381
4.3	0.4064
0	0.3302
0	0.3302
0	0.3048
0	0.2794
0	0.2794
0	0.254
0	0.2286
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.2032
0	0.2032
0.8	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2286
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.127
0	0.1524
0	0.1524
0	0.127
0	0.1524
0	0.127
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
19.3	0.1778
27.9	0.6858
11.9	0.6604
1.5	0.3302
0	0.2032
0	0.1778
5.3	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
3	0.1524
0.3	0.1524
11.9	0.1778
7.6	0.3556
18.5	0.508
40.6	2.1336
0.8	0.8636
0	0.4318
0	0.2794
1.5	0.2286
19.3	0.3302
48.3	6.6802
6.4	1.7018
2.5	0.9652
0	0.7112
0	0.5588
0	0.4572
0	0.4318
0	0.3556
0	0.3302
0	0.2794
8.6	0.3048
35.6	1.2192
56.9	8.0772
8.6	12.2174
16.8	3.8608
19.8	7.5438
0	3.7592
0	2.3876
0	1.6764
0	1.2446
0	1.0414
0	0.889
0	0.8382
14.2	0.762
7.1	1.0414
39.4	2.4384
22.1	11.3284
0	7.366
1.3	3.7592
0	2.54
0	1.9812
1.8	1.6764
3.6	1.4224
0.8	1.2446
0.5	1.1176
0	1.016
0	0.9144
0	0.9144
30.5	2.3114
1	1.9304
0	1.4986
0	1.27
0	1.1176
0	0.9652
0	0.889
0	0.8382
0	0.7874
0	0.762
0	0.7112
0	0.6604
5.1	0.6604
0	0.6604
0	0.635
15.2	0.6858
7.4	1.27
13.2	1.0414
27.2	5.207
56.9	12.8778
10.2	18.6182
1.3	8.3566
0	4.2672
0	2.9718
0	2.3876
4.8	2.0066
0	1.778
0	1.6002
0	1.397
4.1	1.2954
0	1.1684
0	1.0668
0	0.9906
0	0.889
0	0.889
0	0.8636
0	0.8382
2.5	0.8128
24.6	1.3208
22.4	3.2004
0	2.9972
1.5	2.1844
4.1	1.8288
1.5	1.7018
0.3	1.5748
0.8	1.3716
0	1.2192
0.3	1.0922
0	1.016
0	0.9144
6.1	0.8636
26.9	2.6162
11.2	3.0734
0.8	2.6416
0	2.286
0	2.0828
0	1.8542
7.6	1.7018
2	1.5494
0	1.3462
0	1.1938
0	1.0922
0	1.016
0	0.9144
13.7	1.1684
24.6	1.7526
15.7	6.1468
0	4.6228
13.7	3.048
18	3.1496
1.5	2.7178
2.5	2.2352
0.8	2.0066
4.3	1.778
18	1.7018
12.7	1.7526
11.9	1.905
9.9	1.7526
8.1	1.6256
0	1.5748
0	1.8796
4.8	3.3274
0	6.7564
7.9	9.652
6.1	11.0236
4.1	8.128
5.8	6.8072
5.6	8.0264
0	7.5438
0	5.3086
6.1	4.1656
27.4	5.6134
21.1	5.7404
7.6	10.414
13.7	9.7028
32.3	8.5598
16.3	14.3256
37.3	22.1234
50.5	23.7744
4.1	19.4056
0	10.287
12.2	6.5532
11.7	5.1816
35.6	10.2616
17.3	14.7574
0	10.7696
0	6.5278
7.6	4.699
0.5	3.7846
1	3.1242
13	2.9718
0	2.9718
0	2.794
0	2.5908
2	2.54
14.2	2.3876
0	2.0828
0	1.905
0	1.8288
0.3	1.778
17.8	1.7272
29.7	2.2352
34.3	8.763
51.8	26.416
14.7	28.3972
25.7	25.4508
49	17.7038
13.7	13.716
0	8.3058
7.1	6.477
6.9	7.2136
15.7	10.6426
8.4	9.7536
25.4	10.9474
0	10.8966
0	6.858
0	5.9182
0	5.0038
0	3.9624
0	3.2512
0	2.8194
0	2.4384
0	2.159
0	1.9558
10.7	1.8796
23.9	2.3622
18.5	3.4544
57.2	9.4996
30.2	21.2852
40.6	18.8214
25.1	24.9174
0.5	17.4752
0	9.8552
0	5.8674
0	4.0894
0	3.175
6.4	2.8448
3	2.4638
0.5	2.159
0	1.905
15.2	1.8542
11.9	2.413
23.6	3.4798
26.7	6.8326
20.3	7.493
0	6.9342
11.2	5.8674
16.3	5.8166
3.8	6.2992
34	9.7028
9.9	10.8204
2	7.1882
0	4.826
2.8	3.5814
5.6	2.9972
0	2.667
15.2	2.413
0.5	2.4892
0.3	2.1336
0.8	1.8796
4.6	1.7526
1.5	1.6002
8.6	1.4478
3.6	1.6002
0	1.3462
21.1	1.5494
8.1	3.3782
0	2.6924
0	2.2098
0	1.8796
7.6	1.6764
29	2.5146
28.4	9.6266
0	6.9596
4.8	3.937
18.5	3.4544
24.1	4.6228
1.8	6.9342
0	4.9276
55.1	10.541
15.2	14.0208
8.4	10.4902
8.9	7.3914
7.6	5.461
15	5.1562
9.9	6.4262
0.5	5.6134
0	3.9624
0	3.0226
0	2.5146
0	2.159
0	1.9558
0	1.778
0	1.6002
0	1.397
0	1.1938
0	1.0668
0	0.9398
0	0.889
0	0.8636
0	0.8128
0	0.7874
0	0.762
0	0.7112
17.5	0.8128
1.8	0.8128
2	0.7112
0	0.6858
0	0.6604
1.8	0.635
0.8	0.6096
0	0.6096
0	0.5842
0	0.5588
0	0.5334
0	0.508
0	0.4826
0	0.4572
0	0.4318
0	0.4318
0	0.4064
0	0.4318
0	0.4318
0	0.4318
0	0.4318
0	0.4318
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.2286
1.8	0.2032
1	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
3.3	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.1524
3.8	0.1524
27.9	0.508
18.5	0.508
7.6	0.5334
0.5	0.2794
4.8	0.2794
0	0.254
0	0.1778
0	0.1778
0	0.1778
1.8	0.1778
3.8	0.1778
0.5	0.1778
16.3	0.3302
9.7	0.5334
0	0.3048
0	0.2286
0	0.2032
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
21.3	0.3302
42.9	1.0414
14.2	1.27
0	0.4826
0	0.2794
10.7	0.3048
3.6	0.381
0	0.2794
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.1016
9.4	0.127
0.8	0.1778
5.1	0.1524
32.5	0.8128
26.9	1.143
14	2.8702
0	1.1684
1.8	0.6604
